"bbl","street_number","street_name","square_feet","energy_grade","energy_score","borough","full_address","lat","long"
1007610020,325,"WEST 37 STREET",48843,"A",100,"Manhattan","325 WEST 37 STREET Manhattan, NY",40.756,-73.9909
1007610022,313,"WEST 37 STREET",82354,"C",62,"Manhattan","313 WEST 37 STREET Manhattan, NY",40.7556,-73.9918
1007610028,307,"WEST 37 STREET",102824,"B",79,"Manhattan","307 WEST 37 STREET Manhattan, NY",40.7553,-73.9921
1007610033,545,"8 AVENUE",166874,"A",86,"Manhattan","545 8 AVENUE Manhattan, NY",40.8069385,-73.9554319
1007610037,555,"8 AVENUE",162260,"A",100,"Manhattan","555 8 AVENUE Manhattan, NY",40.8069385,-73.9554319
1007610043,320,"WEST 38 STREET",718503,"D",22,"Manhattan","320 WEST 38 STREET Manhattan, NY",40.7551096,-73.9928386
1007610053,330,"WEST 38 STREET",180064,"A",95,"Manhattan","330 WEST 38 STREET Manhattan, NY",40.7552496,-73.9935
1007610059,344,"WEST 38 STREET",95402,"A",85,"Manhattan","344 WEST 38 STREET Manhattan, NY",40.7551808,-73.9929733
1007620016,333,"WEST 38 STREET",35219,"B",80,"Manhattan","333 WEST 38 STREET Manhattan, NY",40.7555177,-73.9930529
1007620019,325,"WEST 38 STREET",110188,"A",93,"Manhattan","325 WEST 38 STREET Manhattan, NY",40.755447,-73.992683
1000050010,115,"BROAD STREET",1016406,"A",91,"Manhattan","115 BROAD STREET Manhattan, NY",40.7027153,-74.0107265
1000057501,125,"BROAD STREET",1354691,"A",85,"Manhattan","125 BROAD STREET Manhattan, NY",40.7023329,-74.0105146
1000080051,6,"WATER STREET",102407,"D",26,"Manhattan","6 WATER STREET Manhattan, NY",40.702977,-74.0122333
1000087501,39,"WHITEHALL STREET",169061,"D",32,"Manhattan","39 WHITEHALL STREET Manhattan, NY",40.7029733,-74.0126856
1000090001,34,"WHITEHALL STREET",692431,"B",83,"Manhattan","34 WHITEHALL STREET Manhattan, NY",40.7027732,-74.0131543
1000090014,17,"STATE STREET",544015,"B",75,"Manhattan","17 STATE STREET Manhattan, NY",40.7029112,-74.0139782
1000090029,24,"STATE STREET",896956,"C",56,"Manhattan","24 STATE STREET Manhattan, NY",40.7033851,-74.0141188
1000100014,33,"WHITEHALL STREET",365792,"B",82,"Manhattan","33 WHITEHALL STREET Manhattan, NY",40.703334,-74.0129436
1000100016,90,"BROAD STREET",336025,"B",79,"Manhattan","90 BROAD STREET Manhattan, NY",40.7037452,-74.0117645
1000100023,1,"WHITEHALL STREET",321994,"A",87,"Manhattan","1 WHITEHALL STREET Manhattan, NY",40.7038284,-74.0127779
1000110021,80,"BROAD STREET",361710,"B",80,"Manhattan","80 BROAD STREET Manhattan, NY",40.7043518,-74.0118701
1000130001,1,"BROADWAY",180646,"A",87,"Manhattan","1 BROADWAY Manhattan, NY",40.7860775,-73.9781924
1000130005,11,"BROADWAY",434220,"A",92,"Manhattan","11 BROADWAY Manhattan, NY",40.7053339,-74.0139867
1000130027,25,"BROADWAY",809401,"C",65,"Manhattan","25 BROADWAY Manhattan, NY",40.7057542,-74.0139829
1000150022,21,"WEST STREET",335746,"D",29,"Manhattan","21 WEST STREET Manhattan, NY",40.7063837,-74.0155288
1000157501,17,"BATTERY PLACE",1402831,"B",81,"Manhattan","17 BATTERY PLACE Manhattan, NY",40.7052101,-74.0159824
1000157502,20,"WEST STREET",259076,"B",78,"Manhattan","20 WEST STREET Manhattan, NY",40.7061966,-74.0156082
1000160015,50,"BATTERY PLACE",239165,"B",80,"Manhattan","50 BATTERY PLACE Manhattan, NY",40.706659,-74.0179877
1000160020,70,"BATTERY PLACE",230765,"B",82,"Manhattan","70 BATTERY PLACE Manhattan, NY",40.7072998,-74.0175266
1000160100,345,"SOUTH END AVENUE",1881621,"B",72,"Manhattan","345 SOUTH END AVENUE Manhattan, NY",40.710873,-74.0164898
1000160120,200,"LIBERTY STREET",1501878,"A",86,"Manhattan","200 LIBERTY STREET Manhattan, NY",40.7106407,-74.0155561
1000160125,225,"LIBERTY STREET",2267925,"B",77,"Manhattan","225 LIBERTY STREET Manhattan, NY",40.7122721,-74.0154361
1000160150,250,"VESEY STREET",2084079,"A",85,"Manhattan","250 VESEY STREET Manhattan, NY",40.7140007,-74.0158798
1000160180,20,"RIVER TERRACE",356786,"D",35,"Manhattan","20 RIVER TERRACE Manhattan, NY",40.7180554,-74.0152935
1000160185,211,"NORTH END AVENUE",283905,"D",11,"Manhattan","211 NORTH END AVENUE Manhattan, NY",40.7162076,-74.0155207
1000160205,455,"NORTH END AVENUE",239185,"D",1,"Manhattan","455 NORTH END AVENUE Manhattan, NY",40.7175679,-74.0144398
1000160210,399,"CHAMBERS STREET",357000,"B",76,"Manhattan","399 CHAMBERS STREET Manhattan, NY",40.7181435,-74.0146952
1000160221,450,"NORTH END AVENUE",244617,"D",26,"Manhattan","450 NORTH END AVENUE Manhattan, NY",40.7170471,-74.0136284
1000160225,1,"NORTH END AVENUE",502000,"B",83,"Manhattan","1 NORTH END AVENUE Manhattan, NY",40.7144303,-74.0169575
1000167501,377,"RECTOR PLACE",220821,"B",71,"Manhattan","377 RECTOR PLACE Manhattan, NY",40.7098302,-74.0179135
1000167502,320,"ALBANY STREET",150855,"B",78,"Manhattan","320 ALBANY STREET Manhattan, NY",40.7100902,-74.0167602
1000167503,250,"SOUTH END AVENUE",106052,"D",44,"Manhattan","250 SOUTH END AVENUE Manhattan, NY",40.7096469,-74.0162504
1000167504,300,"ALBANY STREET",91774,"C",62,"Manhattan","300 ALBANY STREET Manhattan, NY",40.7099241,-74.0167669
1000167507,300,"RECTOR PLACE",129176,"B",84,"Manhattan","300 RECTOR PLACE Manhattan, NY",40.7088062,-74.0174472
